Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Open Duration (m),Close Duration (m),Gas,GasRate,Fluidrate (bbl/m),Lift Pressure - DROP (psi),UpwardRate (psi/m)
1653,Anderson_East_2-35,2/5/2025 18:19,275.0,64.0,52.91,211.0,2.69,2/5/2025 18:05,279.0,112.0,51.5,227.5,1.36,8.283333333,544.3460765,13.55,0.833333333,0.19,0.014022140221402213,0.19852398523985237,222.09,6.492000002596796
1652,Anderson_East_2-35,2/5/2025 18:04,276.0,65.0,52.73,211.0,2.69,2/5/2025 17:51,276.0,113.0,50.47,225.53,1.38,8.3,543.253012,13.31666667,0.85,0.13,0.009762202750998197,0.2020025030783473,223.27,2.658823529411754
1645,Anderson_East_2-35,2/5/2025 15:38,276.0,63.0,50.02,213.0,2.72,2/5/2025 15:25,279.0,106.0,50.2,228.8,1.32,7.633333333,590.69869,12.86666667,0.883333333,0.16,0.012435233157400197,0.21139896367580338,225.98,3.192452831393403
1644,Anderson_East_2-35,2/5/2025 15:24,280.0,62.0,50.7,218.0,2.78,2/5/2025 15:12,276.0,123.0,49.88,226.12,1.48,8.1,556.6666667,12.53333333,0.783333333,0.12,0.009574468087652784,0.2218085106972895,229.3,-4.059574469812594
1643,Anderson_East_2-35,2/5/2025 15:11,278.0,63.0,52.77,215.0,2.74,2/5/2025 15:00,276.0,112.0,53.02,222.98,1.36,5.566666667,810.0,11.23333333,0.85,0.16,0.014243323446363004,0.24391691401896645,225.23,-2.6470588235294117
1642,Anderson_East_2-35,2/5/2025 14:59,275.0,67.0,53.77,208.0,2.65,2/5/2025 14:47,279.0,99.0,46.55,232.45,1.29,6.866666667,656.6504854,11.91666667,0.766666667,0.12,0.010069930067113306,0.22237762231541885,221.23,14.634782602332702
1631,Anderson_East_2-35,2/5/2025 9:32,281.0,68.0,55.88,213.0,2.72,2/5/2025 9:19,279.0,109.0,59.06,219.94,1.29,5.816666667,775.1862464,13.35,0.833333333,0.17,0.012734082397003747,0.20374531835205995,225.12,-6.216000002486408
1630,Anderson_East_2-35,2/5/2025 9:18,278.0,76.0,62.63,202.0,2.58,2/5/2025 9:04,274.0,134.0,60.77,213.23,1.52,8.366666667,538.9243028,13.76666667,0.833333333,0.12,0.008716707019681184,0.18740920092314547,215.37,-2.568000001027218
1614,Anderson_East_2-35,2/5/2025 2:55,278.0,79.0,68.49,199.0,2.54,2/5/2025 2:43,279.0,126.0,64.63,214.37,1.4,7.916666667,569.5578947,12.46666667,0.833333333,0.16,0.01283422459549887,0.20374331545354457,209.51,5.8320000023328165
1613,Anderson_East_2-35,2/5/2025 2:42,277.0,79.0,66.98,198.0,2.53,2/5/2025 2:28,280.0,140.0,64.62,215.38,1.54,8.1,556.6666667,14.15,0.833333333,0.13,0.009187279151943463,0.17879858657243813,210.01999999999998,6.432000002572816
