Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Open Duration (m),Close Duration (m),Gas,GasRate,Fluidrate (bbl/m),Lift Pressure - DROP (psi),UpwardRate (psi/m)
1598,Anderson_East_2-35,2/4/2025 23:19,279.0,84.0,72.06,195.0,2.49,2/4/2025 23:07,277.0,108.0,63.52,213.48,1.26,4.916666667,917.0847458,11.68333333,0.866666667,0.16,0.013694721829870107,0.21312410847735355,206.94,7.546153843251471
1597,Anderson_East_2-35,2/4/2025 23:06,274.0,84.0,70.11,190.0,2.42,2/4/2025 22:55,275.0,136.0,64.53,210.47,1.51,6.916666667,651.9036145,10.88333333,0.85,0.13,0.011944869835205167,0.22235834616305003,203.89,7.74117647058825
1596,Anderson_East_2-35,2/4/2025 22:54,275.0,77.0,66.04,198.0,2.53,2/4/2025 20:39,279.0,126.0,67.9,211.1,1.38,6.283333333,717.6127321,135.0166667,0.85,0.13,0.0009628440930841022,0.01873842735002137,208.95999999999998,2.5176470588235467
1595,Anderson_East_2-35,2/4/2025 20:38,274.0,79.0,66.15,195.0,2.49,2/4/2025 20:26,279.0,119.0,66.5,212.5,1.33,6.633333333,679.7487437,12.2,0.85,0.15,0.012295081967213115,0.20409836065573772,207.85,5.470588235294125
1594,Anderson_East_2-35,2/4/2025 20:25,277.0,83.0,71.7,194.0,2.47,2/4/2025 20:12,278.0,129.0,60.59,217.41,1.46,9.25,487.4594595,13.83333333,0.833333333,0.12,0.008674698797271011,0.178554216910495,205.3,14.532000005812781
1583,Anderson_East_2-35,2/4/2025 17:33,279.0,74.0,61.03,205.0,2.62,2/4/2025 17:20,280.0,110.0,54.83,225.17,1.32,7.083333333,636.5647059,12.4,0.866666667,0.16,0.012903225806451613,0.21129032258064517,217.97,8.30769230449703
1582,Anderson_East_2-35,2/4/2025 17:20,277.0,72.0,59.76,205.0,2.62,2/4/2025 17:07,280.0,118.0,52.34,227.66,1.41,8.033333333,561.2863071,13.0,0.783333333,0.12,0.00923076923076923,0.20153846153846156,217.24,13.302127665234933
1572,Anderson_East_2-35,2/4/2025 14:19,275.0,74.0,61.27,201.0,2.56,2/4/2025 14:13,277.0,150.0,102.31,174.69,1.38,1.633333333,2760.612245,5.95,0.766666667,0.11,0.018487394957983194,0.4302521008403361,213.73,-50.92173910829489
1571,Anderson_East_2-35,2/4/2025 14:12,279.0,104.0,95.01,175.0,2.23,2/4/2025 13:58,280.0,168.0,135.91,144.09,1.29,4.866666667,926.5068493,13.45,0.866666667,0.13,0.009665427509293681,0.16579925650557623,183.99,-46.038461520754446
1569,Anderson_East_2-35,2/4/2025 13:46,277.0,146.0,136.45,131.0,1.67,2/4/2025 13:36,279.0,118.0,67.95,211.05,1.31,6.083333333,741.2054795,9.75,0.766666667,0.12,0.012307692307692308,0.17128205128205126,140.55,91.95652169914935
1568,Anderson_East_2-35,2/4/2025 13:35,278.0,122.0,109.11,156.0,1.99,2/4/2025 13:24,277.0,129.0,63.63,213.37,1.44,7.016666667,642.6128266,11.51666667,0.866666667,0.1,0.008683068014852947,0.17279305349557367,168.89,51.3230769033373
1564,Anderson_East_2-35,2/4/2025 12:42,280.0,80.0,68.38,200.0,2.55,2/4/2025 12:30,278.0,130.0,62.76,215.24,1.45,7.283333333,619.0846682,11.88333333,0.866666667,0.14,0.011781206174412683,0.21458625531965952,211.62,4.176923075316574
1563,Anderson_East_2-35,2/4/2025 12:29,278.0,81.0,69.08,197.0,2.51,2/4/2025 12:17,277.0,115.0,63.74,213.26,1.32,5.3,850.754717,12.4,0.866666667,0.13,0.010483870967741936,0.20241935483870965,208.92000000000002,5.007692305766244
1562,Anderson_East_2-35,2/4/2025 12:16,277.0,77.0,65.78,200.0,2.55,2/4/2025 12:05,276.0,140.0,67.89,208.11,1.53,6.933333333,650.3365385,10.91666667,0.866666667,0.14,0.012824427477000177,0.23358778618821746,211.22,-3.588461537081344
1561,Anderson_East_2-35,2/4/2025 12:04,276.0,78.0,68.52,198.0,2.53,2/4/2025 10:21,280.0,130.0,56.79,223.21,1.49,8.6,524.3023256,103.2333333,0.866666667,0.15,0.00145301905116339,0.024507587996289177,207.48000000000002,18.14999999301922
1545,Anderson_East_2-35,2/4/2025 6:50,278.0,77.0,65.51,201.0,2.56,2/4/2025 6:38,275.0,135.0,55.66,219.34,1.57,8.6,524.3023256,12.06666667,0.85,0.16,0.013259668504624402,0.21215469607399043,212.49,8.058823529411757
1544,Anderson_East_2-35,2/4/2025 6:37,275.0,74.0,61.96,201.0,2.56,2/4/2025 4:35,280.0,116.0,64.42,215.58,1.31,3.7,1218.648649,121.6333333,0.833333333,0.16,0.001315428884986415,0.02104686215978264,213.04,3.0480000012192243
1543,Anderson_East_2-35,2/4/2025 4:34,274.0,75.0,58.88,199.0,2.54,2/4/2025 4:22,279.0,113.0,51.93,227.07,1.37,8.166666667,552.122449,12.71666667,0.85,0.15,0.011795543902543762,0.19973787674974106,215.12,14.058823529411752
1542,Anderson_East_2-35,2/4/2025 4:21,279.0,78.0,68.11,201.0,2.56,2/4/2025 4:09,280.0,123.0,62.37,217.63,1.39,7.533333333,598.539823,12.18333333,0.85,0.15,0.01231190150815647,0.2101231190725371,210.89,7.929411764705893
1541,Anderson_East_2-35,2/4/2025 4:08,278.0,66.0,54.37,212.0,2.7,2/4/2025 3:51,283.0,122.0,48.26,234.74,1.46,12.15,371.1111111,17.03333333,0.85,0.09,0.005283757339585862,0.15851272018757587,223.63,13.070588235294133
1525,Anderson_East_2-35,2/3/2025 22:56,274.0,69.0,53.61,205.0,2.62,2/3/2025 22:43,278.0,118.0,56.28,221.72,1.39,7.733333333,583.0603448,12.83333333,0.833333333,0.16,0.012467532470770787,0.20415584420887165,220.39,1.596000000638415
1524,Anderson_East_2-35,2/3/2025 22:42,280.0,72.0,60.64,208.0,2.65,2/3/2025 22:28,276.0,132.0,54.43,221.57,1.54,9.716666667,464.0480274,14.18333333,0.85,0.18,0.0126909518243692,0.1868390129698799,219.36,2.599999999999976
1523,Anderson_East_2-35,2/3/2025 22:27,275.0,71.0,59.15,204.0,2.6,2/3/2025 21:43,281.0,121.0,54.84,226.16,1.41,9.383333333,480.5328597,43.4,0.85,0.18,0.004147465437788018,0.05990783410138249,215.85,12.129411764705885
1517,Anderson_East_2-35,2/3/2025 19:56,279.0,66.0,55.8,213.0,2.72,2/3/2025 19:43,282.0,115.0,49.03,232.97,1.4,8.733333333,516.2977099,13.5,0.85,0.16,0.011851851851851851,0.20148148148148148,223.2,11.494117647058836
1516,Anderson_East_2-35,2/3/2025 19:42,281.0,66.0,55.41,215.0,2.74,2/3/2025 19:29,282.0,102.0,43.73,238.27,1.32,7.65,589.4117647,12.68333333,0.75,0.13,0.010249671487582043,0.21603153750749846,225.59,16.906666666666677
1514,Anderson_East_2-35,2/3/2025 19:15,280.0,58.0,47.12,222.0,2.83,2/3/2025 19:03,281.0,99.0,46.72,234.28,1.29,7.366666667,612.081448,12.36666667,0.85,0.17,0.013746630724057513,0.2288409702887221,232.88,1.6470588235294186
1513,Anderson_East_2-35,2/3/2025 19:02,278.0,63.0,52.98,215.0,2.74,2/3/2025 18:50,282.0,102.0,47.9,234.1,1.3,8.1,556.6666667,11.93333333,0.833333333,0.15,0.012569832405745763,0.22960893861162263,225.02,10.896000004358381
1512,Anderson_East_2-35,2/3/2025 18:49,278.0,59.0,49.74,219.0,2.79,2/3/2025 18:37,280.0,119.0,45.16,234.84,1.46,8.566666667,526.3424125,12.36666667,0.85,0.15,0.01212938005063898,0.22560646894188505,228.26,7.74117647058825
1511,Anderson_East_2-35,2/3/2025 18:36,282.0,60.0,51.24,222.0,2.83,2/3/2025 18:25,279.0,115.0,50.32,228.68,1.39,6.266666667,719.5212766,10.93333333,0.85,0.14,0.012804878052684415,0.25884146349354925,230.76,-2.4470588235293933
1510,Anderson_East_2-35,2/3/2025 18:24,279.0,59.0,48.34,220.0,2.81,2/3/2025 18:13,279.0,104.0,47.15,231.85,1.32,6.433333333,700.880829,11.36666667,0.85,0.16,0.014076246330182918,0.2472140761738375,230.66,1.3999999999999975
1509,Anderson_East_2-35,2/3/2025 18:12,277.0,63.0,53.16,214.0,2.73,2/3/2025 18:01,277.0,106.0,49.15,227.85,1.33,6.65,678.0451128,11.33333333,0.833333333,0.11,0.009705882355795848,0.2408823530120242,223.84,4.812000001924789
1506,Anderson_East_2-35,2/3/2025 17:34,276.0,59.0,50.86,217.0,2.77,2/3/2025 17:23,277.0,99.0,46.3,230.7,1.3,5.933333333,759.9438202,11.08333333,0.8,0.14,0.012631578951167392,0.24992481210524053,225.14,6.950000000000003
1505,Anderson_East_2-35,2/3/2025 17:22,274.0,64.0,51.63,210.0,2.68,2/3/2025 17:11,274.0,99.0,51.46,222.54,1.27,6.966666667,647.2248804,11.56666667,0.866666667,0.13,0.011239193080334527,0.23170028811766563,222.37,0.19615384607838796
1499,Anderson_East_2-35,2/3/2025 16:11,271.0,85.0,79.67,186.0,2.37,2/3/2025 16:02,271.0,158.0,110.28,160.72,1.42,6.966666667,647.2248804,9.066666667,0.866666667,0.13,0.014338235293590507,0.2613970588139192,191.32999999999998,-35.31923075564644
1498,Anderson_East_2-35,2/3/2025 16:01,269.0,114.0,106.21,155.0,1.98,2/3/2025 15:52,269.0,159.0,114.7,154.3,1.4,7.733333333,583.0603448,9.416666667,0.883333333,0.14,0.01486725663664187,0.2102654867182207,162.79000000000002,-9.611320758343904
1497,Anderson_East_2-35,2/3/2025 15:51,272.0,122.0,113.45,150.0,1.91,2/3/2025 15:45,272.0,154.0,113.43,158.57,1.34,4.366666667,1032.59542,6.466666667,0.783333333,0.11,0.017010309277473695,0.2953608247270432,158.55,0.025531914904458445
1496,Anderson_East_2-35,2/3/2025 15:44,268.0,124.0,117.38,144.0,1.84,2/3/2025 15:37,272.0,158.0,116.88,155.12,1.36,5.65,798.0530973,6.983333333,0.866666667,0.11,0.015751789976885526,0.26348448688608517,150.62,5.192307690310651
1495,Anderson_East_2-35,2/3/2025 15:36,271.0,123.0,117.65,148.0,1.89,2/3/2025 15:30,269.0,164.0,120.9,148.1,1.41,4.433333333,1017.067669,5.483333333,0.783333333,0.08,0.01458966565438235,0.344680851084783,153.35,-6.702127662426437
1494,Anderson_East_2-35,2/3/2025 15:30,272.0,128.0,123.19,144.0,1.84,2/3/2025 15:25,270.0,169.0,128.85,141.15,1.4,3.466666667,1300.673077,4.8,0.866666667,0.11,0.02291666666666667,0.38333333333333336,148.81,-8.838461535062127
1493,Anderson_East_2-35,2/3/2025 15:24,268.0,134.0,127.98,134.0,1.71,2/3/2025 15:20,271.0,178.0,137.18,133.82,1.44,3.233333333,1394.536082,4.283333333,0.866666667,0.08,0.01867704280300989,0.3992217899143363,140.01999999999998,-7.153846151094662
1492,Anderson_East_2-35,2/3/2025 15:19,269.0,142.0,136.83,127.0,1.62,2/3/2025 15:13,269.0,182.0,148.49,120.51,1.39,4.616666667,976.6787004,5.566666667,0.866666667,0.1,0.017964071855211733,0.2910179640544301,132.17,-13.453846148671579
1469,Anderson_East_2-35,2/3/2025 13:16,272.0,178.0,173.53,94.0,1.2,2/3/2025 13:08,271.0,164.0,119.35,151.65,1.42,6.816666667,661.4669927,8.8,0.883333333,0.12,0.013636363636363634,0.13636363636363635,98.47,60.20377360762407
1468,Anderson_East_2-35,2/3/2025 13:07,264.0,159.0,151.73,105.0,1.34,2/3/2025 12:57,267.0,118.0,64.59,202.41,1.36,7.666666667,588.1304348,9.666666667,0.783333333,0.11,0.011379310344435197,0.1386206896503924,112.27000000000001,115.07234047449886
1463,Anderson_East_2-35,2/3/2025 11:52,268.0,82.0,73.6,186.0,2.37,2/3/2025 11:40,267.0,139.0,69.2,197.8,1.55,7.35,613.4693878,11.28333333,0.866666667,0.14,0.01240768094901261,0.2100443132082849,194.4,3.9230769215680543
1462,Anderson_East_2-35,2/3/2025 11:39,267.0,86.0,78.01,181.0,2.31,2/3/2025 10:41,272.0,108.0,51.15,220.85,1.35,7.05,639.5744681,58.96666667,0.85,0.13,0.0022046353870997944,0.03917467495538866,188.99,37.48235294117645
1458,Anderson_East_2-35,2/3/2025 9:21,276.0,80.0,69.7,196.0,2.5,2/3/2025 9:08,275.0,123.0,70.17,204.83,1.35,6.666666667,676.35,12.6,0.85,0.15,0.011904761904761904,0.19841269841269843,206.3,-1.729411764705881
1457,Anderson_East_2-35,2/3/2025 9:07,273.0,86.0,76.47,187.0,2.39,2/3/2025 8:54,276.0,114.0,58.8,217.2,1.34,7.6,593.2894737,13.11666667,0.833333333,0.15,0.01143583227155379,0.18221092752675708,196.53,24.804000009921584
1453,Anderson_East_2-35,2/3/2025 8:10,277.0,66.0,55.69,211.0,2.69,2/3/2025 7:58,274.0,112.0,59.08,214.92,1.33,7.183333333,627.7030162,12.1,0.85,0.16,0.01322314049586777,0.22231404958677686,221.31,-7.517647058823547
1452,Anderson_East_2-35,2/3/2025 7:58,274.0,67.0,54.63,207.0,2.64,2/3/2025 7:45,276.0,119.0,53.04,222.96,1.42,9.3,484.8387097,12.78333333,0.833333333,0.16,0.012516297265323677,0.20651890487784066,219.37,4.308000001723204
1451,Anderson_East_2-35,2/3/2025 7:44,273.0,73.0,61.74,200.0,2.55,2/3/2025 7:29,277.0,125.0,51.35,225.65,1.48,9.55,472.1465969,14.88333333,0.833333333,0.13,0.008734602465562062,0.17133258682448657,211.26,17.26800000690722
1450,Anderson_East_2-35,2/3/2025 7:28,276.0,67.0,54.31,209.0,2.67,2/3/2025 7:14,276.0,116.0,50.43,225.57,1.41,8.3,543.253012,13.71666667,0.866666667,0.16,0.011664641552450877,0.194653705906524,221.69,4.476923075201179
1449,Anderson_East_2-35,2/3/2025 7:14,276.0,66.0,54.84,210.0,2.68,2/3/2025 6:56,274.0,139.0,53.67,220.33,1.63,13.78333333,327.1342201,17.93333333,0.85,0.15,0.008364312269212698,0.14944237920993353,221.16,-0.9764705882352754
1446,Anderson_East_2-35,2/3/2025 6:03,276.0,72.0,60.43,204.0,2.6,2/3/2025 5:50,278.0,113.0,53.19,224.81,1.36,7.166666667,629.1627907,12.58333333,0.833333333,0.16,0.012715231791447743,0.20662251661102585,215.57,11.08800000443521
1445,Anderson_East_2-35,2/3/2025 5:49,278.0,67.0,54.44,211.0,2.69,2/3/2025 5:36,277.0,114.0,51.23,225.77,1.39,8.45,533.6094675,13.16666667,0.85,0.14,0.010632911389713189,0.20430379741663196,223.56,2.6000000000000094
1443,Anderson_East_2-35,2/3/2025 5:21,276.0,66.0,55.06,210.0,2.68,2/3/2025 5:08,278.0,114.0,50.96,227.04,1.38,9.266666667,486.5827338,13.4,0.85,0.17,0.012686567164179105,0.2,220.94,7.176470588235287
1442,Anderson_East_2-35,2/3/2025 5:07,276.0,62.0,49.69,214.0,2.73,2/3/2025 4:54,278.0,112.0,51.7,226.3,1.36,8.333333333,541.08,12.66666667,0.85,0.15,0.011842105260041551,0.21552631573275624,226.31,-0.011764705882342241
1441,Anderson_East_2-35,2/3/2025 4:54,276.0,65.0,52.9,211.0,2.69,2/3/2025 4:41,278.0,124.0,51.07,226.93,1.47,8.3,543.253012,13.01666667,0.766666667,0.13,0.009987195900131321,0.20665813054887117,223.1,4.995652171741037
1440,Anderson_East_2-35,2/3/2025 4:40,277.0,67.0,55.55,210.0,2.68,2/3/2025 4:27,277.0,112.0,56.57,220.43,1.34,6.766666667,666.3546798,12.61666667,0.833333333,0.15,0.011889035663965907,0.2124174371961909,221.45,-1.2240000004895781
1439,Anderson_East_2-35,2/3/2025 4:26,277.0,66.0,53.53,211.0,2.69,2/3/2025 4:14,276.0,113.0,54.39,221.61,1.36,7.966666667,565.9832636,11.95,0.85,0.15,0.012552301255230125,0.22510460251046027,223.47,-2.1882352941176295
1438,Anderson_East_2-35,2/3/2025 4:13,274.0,71.0,60.98,203.0,2.59,2/3/2025 4:01,280.0,124.0,58.62,221.38,1.42,8.483333333,531.5127701,12.9,0.833333333,0.15,0.011627906976744186,0.2007751937984496,213.02,10.032000004012783
1435,Anderson_East_2-35,2/3/2025 3:31,276.0,83.0,71.85,193.0,2.46,2/3/2025 3:20,277.0,128.0,67.61,209.39,1.41,5.55,812.4324324,10.81666667,0.866666667,0.13,0.012018489980887986,0.22742681040757262,204.15,6.046153843828381
1434,Anderson_East_2-35,2/3/2025 3:19,275.0,83.0,72.3,192.0,2.45,2/3/2025 3:08,276.0,118.0,63.84,212.16,1.34,5.833333333,772.9714286,11.68333333,0.866666667,0.13,0.011126961486769461,0.209700428019886,202.7,10.9153846111864
1432,Anderson_East_2-35,2/3/2025 2:54,274.0,75.0,65.37,199.0,2.54,2/3/2025 2:42,277.0,131.0,63.65,213.35,1.46,8.116666667,555.523614,12.21666667,0.883333333,0.15,0.012278308318614376,0.20791268752853678,208.63,5.343396228431469
1431,Anderson_East_2-35,2/3/2025 2:41,275.0,72.0,63.56,203.0,2.59,2/3/2025 2:27,278.0,141.0,78.18,199.82,1.46,6.783333333,664.7174447,14.26666667,0.8,0.12,0.008411214951305791,0.18154205603235,211.44,-14.525000000000006
1430,Anderson_East_2-35,2/3/2025 2:26,276.0,75.0,65.66,201.0,2.56,2/3/2025 2:13,277.0,128.0,83.87,193.13,1.3,5.966666667,755.698324,12.66666667,0.916666667,0.17,0.013421052628047093,0.20210526310470914,210.34,-18.774545447718356
1429,Anderson_East_2-35,2/3/2025 2:12,277.0,92.0,81.8,185.0,2.36,2/3/2025 2:00,274.0,145.0,77.06,196.94,1.53,6.75,668.0,11.96666667,0.8,0.13,0.010863509746277573,0.19721448462473132,195.2,2.1750000000000114
1428,Anderson_East_2-35,2/3/2025 1:59,276.0,95.0,85.78,181.0,2.31,2/3/2025 1:47,277.0,116.0,68.94,208.06,1.29,5.35,842.8037383,12.3,0.866666667,0.17,0.013821138211382113,0.1878048780487805,190.22,20.58461537669823
1427,Anderson_East_2-35,2/3/2025 1:46,272.0,90.0,78.77,182.0,2.32,2/3/2025 1:34,279.0,120.0,65.34,213.66,1.34,7.133333333,632.1028037,12.28333333,0.783333333,0.09,0.0073270013588404345,0.18887381280566454,193.23000000000002,26.080851074927995
1424,Anderson_East_2-35,2/3/2025 1:05,279.0,75.0,65.89,204.0,2.6,2/3/2025 0:51,278.0,133.0,93.68,184.32,1.27,3.983333333,1131.966527,13.91666667,0.883333333,0.18,0.012934131733428951,0.1868263472606404,213.11,-32.59245284248774
1423,Anderson_East_2-35,2/3/2025 0:50,276.0,91.0,80.0,185.0,2.36,2/3/2025 0:39,276.0,164.0,89.72,186.28,1.66,7.016666667,642.6128266,11.31666667,0.783333333,0.13,0.011487481587190727,0.20854197342900088,196.0,-12.408510643578088
1420,Anderson_East_2-35,2/3/2025 0:08,276.0,90.0,80.16,186.0,2.37,2/2/2025 23:55,279.0,134.0,65.03,213.97,1.48,8.2,549.8780488,13.33333333,0.85,0.17,0.0127500000031875,0.1777500000444375,195.84,21.329411764705878
1419,Anderson_East_2-35,2/2/2025 23:54,276.0,84.0,73.49,192.0,2.45,2/2/2025 23:40,280.0,113.0,62.34,217.66,1.3,7.9,570.7594937,14.6,0.85,0.14,0.009589041095890411,0.1678082191780822,202.51,17.823529411764714
1402,Anderson_East_2-35,2/2/2025 19:31,279.0,67.0,54.3,212.0,2.7,2/2/2025 19:19,280.0,120.0,64.79,215.21,1.35,6.883333333,655.0605327,11.96666667,0.85,0.15,0.012534818938012584,0.22562674088422655,224.7,-11.16470588235292
1401,Anderson_East_2-35,2/2/2025 19:18,280.0,71.0,59.67,209.0,2.67,2/2/2025 19:07,279.0,114.0,58.63,220.37,1.34,7.016666667,642.6128266,11.51666667,0.85,0.11,0.009551374816338243,0.2318379159965737,220.32999999999998,0.04705882352943584
1398,Anderson_East_2-35,2/2/2025 18:40,279.0,72.0,60.78,207.0,2.64,2/2/2025 18:27,280.0,115.0,51.71,228.29,1.38,7.366666667,612.081448,12.61666667,0.85,0.18,0.01426684279675909,0.2092470276858,218.22,11.847058823529403
1397,Anderson_East_2-35,2/2/2025 18:26,281.0,66.0,56.19,215.0,2.74,2/2/2025 18:14,278.0,109.0,54.31,223.69,1.32,6.85,658.2481752,11.76666667,0.85,0.14,0.011898016993796598,0.23286118973573341,224.81,-1.3176470588235347
1396,Anderson_East_2-35,2/2/2025 18:13,279.0,64.0,54.35,215.0,2.74,2/2/2025 18:02,277.0,128.0,66.33,210.67,1.41,6.25,721.44,11.08333333,0.833333333,0.14,0.012631578951167392,0.24721804518713325,224.65,-16.776000006710422
1395,Anderson_East_2-35,2/2/2025 18:02,277.0,67.0,56.91,210.0,2.68,2/2/2025 17:51,278.0,117.0,65.83,212.17,1.32,5.65,798.0530973,11.01666667,0.85,0.14,0.012708018150466563,0.24326777602321703,220.09,-9.317647058823548
1394,Anderson_East_2-35,2/2/2025 17:50,276.0,79.0,68.82,197.0,2.51,2/2/2025 17:38,281.0,112.0,62.3,218.7,1.29,6.683333333,674.6633416,11.58333333,0.8,0.12,0.010359712233197038,0.2166906475443714,207.18,14.399999999999977
1393,Anderson_East_2-35,2/2/2025 17:37,277.0,77.0,67.41,200.0,2.55,2/2/2025 17:25,279.0,113.0,59.14,219.86,1.32,7.666666667,588.1304348,12.01666667,0.883333333,0.15,0.012482662964637264,0.2122052703988335,209.59,11.62641509872696
1392,Anderson_East_2-35,2/2/2025 17:24,279.0,74.0,64.86,205.0,2.62,2/2/2025 17:13,277.0,128.0,60.65,216.35,1.45,6.883333333,655.0605327,11.23333333,0.766666667,0.12,0.010682492584772251,0.23323442143419418,214.14,2.8826086943988765
1391,Anderson_East_2-35,2/2/2025 17:12,278.0,72.0,61.66,206.0,2.63,2/2/2025 17:01,277.0,100.0,53.69,223.31,1.26,5.9,764.2372881,11.2,0.866666667,0.14,0.012500000000000002,0.23482142857142857,216.34,8.042307689214496
1390,Anderson_East_2-35,2/2/2025 17:00,276.0,73.0,63.06,203.0,2.59,2/2/2025 16:50,274.0,110.0,54.38,219.62,1.34,6.8,663.0882353,10.81666667,0.783333333,0.11,0.010169491522289834,0.2394453003884606,212.94,8.527659578096886
1389,Anderson_East_2-35,2/2/2025 16:49,275.0,64.0,55.56,211.0,2.69,2/2/2025 16:38,277.0,121.0,66.31,210.69,1.35,5.866666667,768.5795455,10.58333333,0.883333333,0.13,0.012283464570797941,0.25417322842651124,219.44,-9.905660381096475
1388,Anderson_East_2-35,2/2/2025 16:37,273.0,65.0,57.41,208.0,2.65,2/2/2025 16:26,277.0,100.0,53.74,223.26,1.26,5.983333333,753.5933148,10.78333333,0.866666667,0.15,0.013910355491162398,0.24574961367720236,215.59,8.84999999659614
1387,Anderson_East_2-35,2/2/2025 16:26,275.0,80.0,71.98,195.0,2.49,2/2/2025 16:14,276.0,123.0,57.99,218.01,1.42,7.466666667,603.8839286,11.3,0.8,0.11,0.009734513274336283,0.22035398230088496,203.01999999999998,18.73750000000001
1386,Anderson_East_2-35,2/2/2025 16:13,276.0,66.0,56.69,210.0,2.68,2/2/2025 16:02,275.0,98.0,49.8,225.2,1.27,5.783333333,779.6541787,11.11666667,0.866666667,0.14,0.012593703144649564,0.24107946019757737,219.31,6.796153843539925
1385,Anderson_East_2-35,2/2/2025 16:01,275.0,71.0,61.31,204.0,2.6,2/2/2025 15:52,272.0,133.0,85.57,186.43,1.34,5.9,764.2372881,9.983333333,0.866666667,0.15,0.015025041736728717,0.26043405676996445,213.69,-31.453846141748514
1384,Anderson_East_2-35,2/2/2025 15:51,273.0,63.0,55.05,210.0,2.68,2/2/2025 15:46,271.0,149.0,106.76,164.24,1.35,2.533333333,1779.868421,4.183333333,0.866666667,0.15,0.035856573708036375,0.64063745025025,217.95,-61.97307689924111
1383,Anderson_East_2-35,2/2/2025 15:46,272.0,99.0,91.02,173.0,2.21,2/2/2025 15:42,272.0,163.0,127.37,144.63,1.33,2.833333333,1591.411765,3.883333333,0.766666667,0.13,0.03347639485265892,0.5690987124952016,180.98000000000002,-47.41304345764654
1378,Anderson_East_2-35,2/2/2025 15:24,272.0,178.0,172.37,94.0,1.2,2/2/2025 15:20,271.0,201.0,171.81,99.19,1.42,3.066666667,1470.326087,4.033333333,0.883333333,0.11,0.02727272727498122,0.2975206611816133,99.63,-0.49811320773513446
