Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Good,Miss,Open Duration (m),Close Duration (m),Gas,GasRate,Fluidrate (bbl/m),Lift Pressure - DROP (psi),UpwardRate (psi/m)
1624,Anderson_East_2-35,2/5/2025 7:28,279.0,69.0,56.9,210.0,2.68,2/5/2025 7:15,280.0,121.0,55.24,224.76,1.41,7.7,585.5844156,1.0,0.0,12.96666667,0.833333333,0.13,0.010025706938296734,0.20668380457411728,222.1,3.1920000012767957
1623,Anderson_East_2-35,2/5/2025 7:14,277.0,69.0,58.09,208.0,2.65,2/5/2025 7:02,278.0,109.0,51.75,226.25,1.34,6.75,668.0,1.0,0.0,12.4,0.85,0.14,0.011290322580645162,0.21370967741935482,218.91,8.635294117647064
1622,Anderson_East_2-35,2/5/2025 7:01,275.0,72.0,57.78,203.0,2.59,2/5/2025 6:49,275.0,132.0,54.16,220.84,1.54,7.766666667,580.5579399,1.0,0.0,11.81666667,0.833333333,0.13,0.011001410434132183,0.21918194634155655,217.22,4.344000001737605
1621,Anderson_East_2-35,2/5/2025 6:49,277.0,76.0,65.81,201.0,2.56,2/5/2025 6:13,279.0,115.0,62.7,216.3,1.32,4.283333333,1052.684825,1.0,0.0,35.91666667,0.85,0.15,0.004176334106340943,0.0712761020815521,211.19,6.011764705882369
1620,Anderson_East_2-35,2/5/2025 6:12,277.0,78.0,66.12,199.0,2.54,2/5/2025 6:00,278.0,136.0,63.98,214.02,1.51,7.833333333,575.6170213,1.0,0.0,12.23333333,0.833333333,0.11,0.008991825615529107,0.2076294278494903,210.88,3.7680000015072177
1619,Anderson_East_2-35,2/5/2025 5:59,278.0,72.0,59.89,206.0,2.63,2/5/2025 5:44,280.0,116.0,58.65,221.35,1.35,6.716666667,671.3151365,1.0,0.0,14.76666667,0.85,0.11,0.007449209930598373,0.17810383743157926,218.11,3.8117647058823305
1618,Anderson_East_2-35,2/5/2025 5:43,275.0,77.0,66.07,198.0,2.53,2/5/2025 5:31,277.0,112.0,61.36,215.64,1.31,6.566666667,686.6497462,1.0,0.0,11.8,0.85,0.11,0.009322033898305083,0.21440677966101693,208.93,7.8941176470588
1617,Anderson_East_2-35,2/5/2025 5:30,274.0,75.0,60.87,199.0,2.54,2/5/2025 5:16,274.0,134.0,55.63,218.37,1.56,9.116666667,494.5886654,1.0,0.0,13.91666667,0.85,0.15,0.010778443111190791,0.1825149700161641,213.13,6.164705882352952
1616,Anderson_East_2-35,2/5/2025 5:16,278.0,79.0,68.49,199.0,2.54,2/5/2025 3:09,279.0,119.0,66.4,212.6,1.33,6.316666667,713.8258575,1.0,0.0,126.4833333,0.85,0.16,0.0012649887999117114,0.020081697198598418,209.51,3.635294117647063
1615,Anderson_East_2-35,2/5/2025 3:08,277.0,79.0,66.98,198.0,2.53,2/5/2025 2:56,279.0,117.0,62.66,216.34,1.34,7.833333333,575.6170213,1.0,0.0,12.21666667,0.85,0.12,0.009822646654891501,0.20709413364062915,210.01999999999998,7.435294117647085
1614,Anderson_East_2-35,2/5/2025 2:55,278.0,79.0,67.65,199.0,2.54,2/5/2025 2:43,279.0,126.0,64.63,214.37,1.4,7.916666667,569.5578947,1.0,0.0,12.46666667,0.833333333,0.16,0.01283422459549887,0.20374331545354457,210.35,4.824000001929612
1613,Anderson_East_2-35,2/5/2025 2:42,279.0,81.0,67.38,198.0,2.53,2/5/2025 2:28,280.0,140.0,64.62,215.38,1.54,8.1,556.6666667,1.0,0.0,14.15,0.833333333,0.13,0.009187279151943463,0.17879858657243813,211.62,4.512000001804789
1612,Anderson_East_2-35,2/5/2025 2:27,278.0,78.0,67.06,200.0,2.55,2/5/2025 2:12,280.0,119.0,62.79,217.21,1.35,6.4,704.53125,1.0,0.0,14.98333333,0.85,0.14,0.009343715241233308,0.1701890990367495,210.94,7.376470588235306
1611,Anderson_East_2-35,2/5/2025 2:11,277.0,69.0,57.95,208.0,2.65,2/5/2025 1:59,279.0,113.0,55.19,223.81,1.35,7.766666667,580.5579399,1.0,0.0,12.41666667,0.85,0.11,0.008859060400306294,0.2134228187346516,219.05,5.59999999999999
1610,Anderson_East_2-35,2/5/2025 1:58,279.0,70.0,56.39,209.0,2.67,2/5/2025 1:45,280.0,118.0,52.99,227.01,1.4,8.016666667,562.4532225,1.0,0.0,12.73333333,0.85,0.13,0.010209424086442258,0.20968586392923713,222.61,5.176470588235268
1609,Anderson_East_2-35,2/5/2025 1:44,277.0,71.0,57.97,206.0,2.63,2/5/2025 1:31,279.0,116.0,55.75,223.25,1.37,7.583333333,594.5934066,1.0,0.0,12.78333333,0.85,0.13,0.010169491528075487,0.2057366362987579,219.03,4.9647058823529395
1608,Anderson_East_2-35,2/5/2025 1:31,276.0,76.0,62.93,200.0,2.55,2/5/2025 1:18,278.0,127.0,59.1,218.9,1.45,7.483333333,602.5389755,1.0,0.0,12.15,0.85,0.11,0.00905349794238683,0.20987654320987653,213.07,6.858823529411779
1607,Anderson_East_2-35,2/5/2025 1:18,277.0,80.0,68.7,197.0,2.51,2/5/2025 1:05,279.0,117.0,65.72,213.28,1.32,6.25,721.44,1.0,0.0,12.63333333,0.85,0.14,0.011081794198174618,0.19868073883870205,208.3,5.858823529411753
1606,Anderson_East_2-35,2/5/2025 1:04,279.0,82.0,70.11,197.0,2.51,2/5/2025 0:52,280.0,128.0,67.24,212.76,1.4,7.766666667,580.5579399,1.0,0.0,12.05,0.85,0.12,0.00995850622406639,0.20829875518672197,208.89,4.552941176470593
1605,Anderson_East_2-35,2/5/2025 0:51,278.0,75.0,64.83,203.0,2.59,2/5/2025 0:38,279.0,128.0,63.37,215.63,1.43,6.15,733.1707317,1.0,0.0,13.45,0.85,0.13,0.009665427509293681,0.19256505576208177,213.17000000000002,2.8941176470587995
1604,Anderson_East_2-35,2/5/2025 0:37,278.0,72.0,60.68,206.0,2.63,2/5/2025 0:23,280.0,117.0,58.32,221.68,1.36,6.6,683.1818182,1.0,0.0,14.01666667,0.766666667,0.11,0.007847800235945827,0.18763376927761385,217.32,5.686956519266559
1603,Anderson_East_2-35,2/5/2025 0:22,277.0,73.0,61.66,204.0,2.6,2/5/2025 0:10,278.0,116.0,59.13,218.87,1.35,6.75,668.0,1.0,0.0,12.3,0.833333333,0.13,0.01056910569105691,0.2113821138211382,215.34,4.236000001694402
1602,Anderson_East_2-35,2/5/2025 0:09,276.0,73.0,62.54,203.0,2.59,2/4/2025 23:58,276.0,120.0,59.98,216.02,1.38,5.55,812.4324324,1.0,0.0,10.78333333,0.766666667,0.11,0.010200927360185758,0.24018547148073738,213.46,3.339130433330816
1601,Anderson_East_2-35,2/4/2025 23:57,279.0,83.0,71.98,196.0,2.5,2/4/2025 23:45,280.0,129.0,68.18,211.82,1.4,6.75,668.0,1.0,0.0,12.5,0.85,0.13,0.0104,0.2,207.01999999999998,5.6470588235294255
1600,Anderson_East_2-35,2/4/2025 23:44,279.0,84.0,72.06,195.0,2.49,2/4/2025 23:32,280.0,122.0,70.8,209.2,1.32,6.333333333,711.9473684,1.0,0.0,12.2,0.833333333,0.14,0.011475409836065575,0.20409836065573772,206.94,2.712000001084789
1599,Anderson_East_2-35,2/4/2025 23:31,274.0,84.0,70.11,190.0,2.42,2/4/2025 23:19,276.0,139.0,66.92,209.08,1.53,6.8,663.0882353,1.0,0.0,11.7,0.85,0.13,0.011111111111111112,0.20683760683760685,203.89,6.105882352941207
1598,Anderson_East_2-35,2/4/2025 23:19,275.0,77.0,66.04,198.0,2.53,2/4/2025 23:07,277.0,108.0,63.52,213.48,1.26,4.916666667,917.0847458,1.0,0.0,11.68333333,0.866666667,0.16,0.013694721829870107,0.21654778893482104,208.95999999999998,5.215384613378711
1597,Anderson_East_2-35,2/4/2025 23:06,274.0,79.0,66.15,195.0,2.49,2/4/2025 22:55,275.0,136.0,64.53,210.47,1.51,6.916666667,651.9036145,1.0,0.0,10.88333333,0.85,0.13,0.011944869835205167,0.22879019915123747,207.85,3.082352941176476
1596,Anderson_East_2-35,2/4/2025 22:54,277.0,83.0,71.7,194.0,2.47,2/4/2025 20:39,279.0,126.0,67.9,211.1,1.38,6.283333333,717.6127321,1.0,0.0,135.0166667,0.85,0.13,0.0009628440930841022,0.01829403776859794,205.3,6.823529411764686
1595,Anderson_East_2-35,2/4/2025 20:38,278.0,80.0,68.27,198.0,2.53,2/4/2025 20:26,279.0,119.0,66.5,212.5,1.33,6.633333333,679.7487437,1.0,0.0,12.2,0.85,0.15,0.012295081967213115,0.20737704918032787,209.73000000000002,3.2588235294117434
1594,Anderson_East_2-35,2/4/2025 20:25,278.0,77.0,63.96,201.0,2.56,2/4/2025 20:12,278.0,129.0,60.59,217.41,1.46,9.25,487.4594595,1.0,0.0,13.83333333,0.833333333,0.12,0.008674698797271011,0.18506024100844826,214.04,4.044000001617605
1593,Anderson_East_2-35,2/4/2025 20:11,278.0,67.0,52.95,211.0,2.69,2/4/2025 19:54,279.0,122.0,50.24,228.76,1.46,10.76666667,418.7925697,1.0,0.0,16.7,0.833333333,0.15,0.008982035928143712,0.16107784431137726,225.05,4.4520000017807755
1592,Anderson_East_2-35,2/4/2025 19:53,278.0,67.0,53.47,211.0,2.69,2/4/2025 19:38,279.0,118.0,50.46,228.54,1.42,8.316666667,542.1643287,1.0,0.0,14.81666667,0.816666667,0.14,0.009448818895512077,0.18155230592091062,224.53,4.9102040796284765
1591,Anderson_East_2-35,2/4/2025 19:38,280.0,69.0,56.85,211.0,2.69,2/4/2025 19:24,282.0,108.0,53.77,228.23,1.31,7.283333333,619.0846682,1.0,0.0,13.41666667,0.85,0.15,0.011180124220824813,0.200496894360125,223.15,5.9764705882352755
1590,Anderson_East_2-35,2/4/2025 19:23,279.0,74.0,60.51,205.0,2.62,2/4/2025 19:10,280.0,119.0,57.31,222.69,1.38,8.133333333,554.3852459,1.0,0.0,13.3,0.833333333,0.13,0.009774436090225564,0.19699248120300752,218.49,5.0400000020159865
1589,Anderson_East_2-35,2/4/2025 19:09,277.0,69.0,56.7,208.0,2.65,2/4/2025 18:55,278.0,119.0,55.18,222.82,1.4,8.266666667,545.4435484,1.0,0.0,13.86666667,0.85,0.16,0.011538461535687869,0.19110576918483033,220.3,2.96470588235292
1588,Anderson_East_2-35,2/4/2025 18:54,278.0,65.0,52.77,213.0,2.72,2/4/2025 18:41,278.0,123.0,50.08,227.92,1.47,8.533333333,528.3984375,1.0,0.0,13.45,0.85,0.13,0.009665427509293681,0.2022304832713755,225.23,3.1647058823529384
1587,Anderson_East_2-35,2/4/2025 18:40,277.0,65.0,52.45,212.0,2.7,2/4/2025 18:23,278.0,131.0,50.98,227.02,1.54,11.63333333,387.5931232,1.0,0.0,17.4,0.85,0.14,0.008045977011494254,0.15517241379310348,224.55,2.905882352941175
1586,Anderson_East_2-35,2/4/2025 18:22,280.0,67.0,53.34,213.0,2.72,2/4/2025 18:03,280.0,123.0,50.08,229.92,1.46,10.9,413.6697248,1.0,0.0,18.45,0.85,0.12,0.0065040650406504065,0.14742547425474256,226.66,3.8352941176470483
1585,Anderson_East_2-35,2/4/2025 18:03,279.0,74.0,61.03,205.0,2.62,2/4/2025 17:47,280.0,131.0,58.06,221.94,1.49,8.183333333,550.9979633,1.0,0.0,15.38333333,0.833333333,0.15,0.00975081256982683,0.1703141928863086,217.97,4.764000001905599
1584,Anderson_East_2-35,2/4/2025 17:46,277.0,72.0,59.76,205.0,2.62,2/4/2025 17:34,279.0,120.0,56.02,222.98,1.4,6.416666667,702.7012987,1.0,0.0,12.75,0.85,0.14,0.010980392156862745,0.2054901960784314,217.24,6.752941176470566
1583,Anderson_East_2-35,2/4/2025 17:33,279.0,69.0,57.18,210.0,2.68,2/4/2025 17:20,280.0,110.0,54.83,225.17,1.32,7.083333333,636.5647059,1.0,0.0,12.4,0.866666667,0.16,0.012903225806451613,0.2161290322580645,221.82,3.865384613897923
1582,Anderson_East_2-35,2/4/2025 17:20,279.0,68.0,55.96,211.0,2.69,2/4/2025 17:07,280.0,118.0,52.34,227.66,1.41,8.033333333,561.2863071,1.0,0.0,13.0,0.783333333,0.12,0.00923076923076923,0.20692307692307693,223.04,5.897872342935271
